RunId;Step;Agent;ResultType;Result
2;10001;704:;Recall_!X;0.4
2;10001;588:;RewardPos;55
2;10001;588:;RewardNeg;0
2;10001;588:;AmountOfProposition;22
2;10001;588:;AmountOfPositivesProposition;9
2;10001;588:;AmountOfNegativesProposition;13
2;10001;588:;AmountOfRightPositivesProposition;0
2;10001;588:;AmountOfWrongPositivesProposition;0
2;10001;588:;AmountOfRightNegativesProposition;1
2;10001;588:;AmountOfWrongNegativesProposition;0
2;10001;588:;Precission_X;0
2;10001;588:;Precission_!X;1.0
2;10001;588:;Recall_X;0
2;10001;588:;Recall_!X;1.0
2;10001;627:;RewardPos;38
2;10001;627:;RewardNeg;0
2;10001;627:;AmountOfProposition;22
2;10001;627:;AmountOfPositivesProposition;9
2;10001;627:;AmountOfNegativesProposition;13
2;10001;627:;AmountOfRightPositivesProposition;0
2;10001;627:;AmountOfWrongPositivesProposition;2
2;10001;627:;AmountOfRightNegativesProposition;3
2;10001;627:;AmountOfWrongNegativesProposition;0
2;10001;627:;Precission_X;0.0
2;10001;627:;Precission_!X;1.0
2;10001;627:;Recall_X;0
2;10001;627:;Recall_!X;0.6
2;10001;123:;RewardPos;38
2;10001;123:;RewardNeg;0
2;10001;123:;AmountOfProposition;22
2;10001;123:;AmountOfPositivesProposition;9
2;10001;123:;AmountOfNegativesProposition;13
2;10001;123:;AmountOfRightPositivesProposition;0
2;10001;123:;AmountOfWrongPositivesProposition;1
2;10001;123:;AmountOfRightNegativesProposition;2
2;10001;123:;AmountOfWrongNegativesProposition;0
2;10001;123:;Precission_X;0.0
2;10001;123:;Precission_!X;1.0
2;10001;123:;Recall_X;0
2;10001;123:;Recall_!X;0.6666666666666666
2;10001;887:;RewardPos;26
2;10001;887:;RewardNeg;0
2;10001;887:;AmountOfProposition;22
2;10001;887:;AmountOfPositivesProposition;9
2;10001;887:;AmountOfNegativesProposition;13
2;10001;887:;AmountOfRightPositivesProposition;0
2;10001;887:;AmountOfWrongPositivesProposition;0
2;10001;887:;AmountOfRightNegativesProposition;1
2;10001;887:;AmountOfWrongNegativesProposition;0
2;10001;887:;Precission_X;0
2;10001;887:;Precission_!X;1.0
2;10001;887:;Recall_X;0
2;10001;887:;Recall_!X;1.0
2;10001;851:;RewardPos;28
2;10001;851:;RewardNeg;18
2;10001;851:;AmountOfProposition;22
2;10001;851:;AmountOfPositivesProposition;9
2;10001;851:;AmountOfNegativesProposition;13
2;10001;851:;AmountOfRightPositivesProposition;3
2;10001;851:;AmountOfWrongPositivesProposition;0
2;10001;851:;AmountOfRightNegativesProposition;0
2;10001;851:;AmountOfWrongNegativesProposition;1
2;10001;851:;Precission_X;1.0
2;10001;851:;Precission_!X;0.0
2;10001;851:;Recall_X;0.75
2;10001;851:;Recall_!X;0
2;10001;393:;RewardPos;49
2;10001;393:;RewardNeg;34
2;10001;393:;AmountOfProposition;22
2;10001;393:;AmountOfPositivesProposition;9
2;10001;393:;AmountOfNegativesProposition;13
2;10001;393:;AmountOfRightPositivesProposition;2
2;10001;393:;AmountOfWrongPositivesProposition;0
2;10001;393:;AmountOfRightNegativesProposition;1
2;10001;393:;AmountOfWrongNegativesProposition;4
2;10001;393:;Precission_X;1.0
2;10001;393:;Precission_!X;0.2
2;10001;393:;Recall_X;0.3333333333333333
2;10001;393:;Recall_!X;1.0
2;10001;873:;RewardPos;51
2;10001;873:;RewardNeg;18
2;10001;873:;AmountOfProposition;22
2;10001;873:;AmountOfPositivesProposition;9
2;10001;873:;AmountOfNegativesProposition;13
2;10001;873:;AmountOfRightPositivesProposition;1
2;10001;873:;AmountOfWrongPositivesProposition;1
2;10001;873:;AmountOfRightNegativesProposition;3
2;10001;873:;AmountOfWrongNegativesProposition;0
2;10001;873:;Precission_X;0.5
2;10001;873:;Precission_!X;1.0
2;10001;873:;Recall_X;1.0
2;10001;873:;Recall_!X;0.75
2;10001;48:;RewardPos;33
2;10001;48:;RewardNeg;25
2;10001;48:;AmountOfProposition;22
2;10001;48:;AmountOfPositivesProposition;9
2;10001;48:;AmountOfNegativesProposition;13
2;10001;48:;AmountOfRightPositivesProposition;1
2;10001;48:;AmountOfWrongPositivesProposition;0
2;10001;48:;AmountOfRightNegativesProposition;1
2;10001;48:;AmountOfWrongNegativesProposition;0
2;10001;48:;Precission_X;1.0
2;10001;48:;Precission_!X;1.0
2;10001;48:;Recall_X;1.0
2;10001;48:;Recall_!X;1.0
2;10001;812:;RewardPos;38
2;10001;812:;RewardNeg;0
2;10001;812:;AmountOfProposition;22
2;10001;812:;AmountOfPositivesProposition;9
2;10001;812:;AmountOfNegativesProposition;13
2;10001;812:;AmountOfRightPositivesProposition;0
2;10001;812:;AmountOfWrongPositivesProposition;1
2;10001;812:;AmountOfRightNegativesProposition;3
2;10001;812:;AmountOfWrongNegativesProposition;0
2;10001;812:;Precission_X;0.0
2;10001;812:;Precission_!X;1.0
2;10001;812:;Recall_X;0
2;10001;812:;Recall_!X;0.75
2;10001;All;AveragePositiveReward;40.3
2;10001;All;AverageNegativeReward;11.4
2;10001;All;Precission_X;0.35
2;10001;All;Precission_!X;0.82
2;10001;All;Recall_X;0.3083333333333333
2;10001;All;Recall_!X;0.7166666666666666
2;10001;All;PercentageSurvive;1.0
3;GameOver;8;10001
3;10001;529:;RewardPos;39
3;10001;529:;RewardNeg;94
3;10001;529:;AmountOfProposition;18
3;10001;529:;AmountOfPositivesProposition;13
3;10001;529:;AmountOfNegativesProposition;5
3;10001;529:;AmountOfRightPositivesProposition;6
3;10001;529:;AmountOfWrongPositivesProposition;0
3;10001;529:;AmountOfRightNegativesProposition;0
3;10001;529:;AmountOfWrongNegativesProposition;1
3;10001;529:;Precission_X;1.0
3;10001;529:;Precission_!X;0.0
3;10001;529:;Recall_X;0.8571428571428571
3;10001;529:;Recall_!X;0
3;10001;375:;RewardPos;0
3;10001;375:;RewardNeg;18
3;10001;375:;AmountOfProposition;18
3;10001;375:;AmountOfPositivesProposition;13
3;10001;375:;AmountOfNegativesProposition;5
3;10001;375:;AmountOfRightPositivesProposition;5
3;10001;375:;AmountOfWrongPositivesProposition;0
3;10001;375:;AmountOfRightNegativesProposition;0
3;10001;375:;AmountOfWrongNegativesProposition;0
3;10001;375:;Precission_X;1.0
3;10001;375:;Precission_!X;0
3;10001;375:;Recall_X;1.0
3;10001;375:;Recall_!X;0
3;10001;519:;RewardPos;32
3;10001;519:;RewardNeg;93
3;10001;519:;AmountOfProposition;18
3;10001;519:;AmountOfPositivesProposition;13
3;10001;519:;AmountOfNegativesProposition;5
3;10001;519:;AmountOfRightPositivesProposition;4
3;10001;519:;AmountOfWrongPositivesProposition;0
3;10001;519:;AmountOfRightNegativesProposition;1
3;10001;519:;AmountOfWrongNegativesProposition;1
3;10001;519:;Precission_X;1.0
3;10001;519:;Precission_!X;0.5
3;10001;519:;Recall_X;0.8
3;10001;519:;Recall_!X;1.0
3;10001;741:;RewardPos;0
3;10001;741:;RewardNeg;102
3;10001;741:;AmountOfProposition;18
3;10001;741:;AmountOfPositivesProposition;13
3;10001;741:;AmountOfNegativesProposition;5
3;10001;741:;AmountOfRightPositivesProposition;7
3;10001;741:;AmountOfWrongPositivesProposition;0
3;10001;741:;AmountOfRightNegativesProposition;0
3;10001;741:;AmountOfWrongNegativesProposition;1
3;10001;741:;Precission_X;1.0
3;10001;741:;Precission_!X;0.0
3;10001;741:;Recall_X;0.875
3;10001;741:;Recall_!X;0
3;10001;862:;RewardPos;21
3;10001;862:;RewardNeg;20
3;10001;862:;AmountOfProposition;18
3;10001;862:;AmountOfPositivesProposition;13
3;10001;862:;AmountOfNegativesProposition;5
3;10001;862:;AmountOfRightPositivesProposition;0
3;10001;862:;AmountOfWrongPositivesProposition;2
3;10001;862:;AmountOfRightNegativesProposition;1
3;10001;862:;AmountOfWrongNegativesProposition;0
3;10001;862:;Precission_X;0.0
3;10001;862:;Precission_!X;1.0
3;10001;862:;Recall_X;0
3;10001;862:;Recall_!X;0.3333333333333333
3;10001;666:;RewardPos;43
3;10001;666:;RewardNeg;0
3;10001;666:;AmountOfProposition;18
3;10001;666:;AmountOfPositivesProposition;13
3;10001;666:;AmountOfNegativesProposition;5
3;10001;666:;AmountOfRightPositivesProposition;0
3;10001;666:;AmountOfWrongPositivesProposition;0
3;10001;666:;AmountOfRightNegativesProposition;1
3;10001;666:;AmountOfWrongNegativesProposition;0
3;10001;666:;Precission_X;0
3;10001;666:;Precission_!X;1.0
3;10001;666:;Recall_X;0
3;10001;666:;Recall_!X;1.0
3;10001;945:;RewardPos;29
3;10001;945:;RewardNeg;34
3;10001;945:;AmountOfProposition;18
3;10001;945:;AmountOfPositivesProposition;13
3;10001;945:;AmountOfNegativesProposition;5
3;10001;945:;AmountOfRightPositivesProposition;4
3;10001;945:;AmountOfWrongPositivesProposition;0
3;10001;945:;AmountOfRightNegativesProposition;1
3;10001;945:;AmountOfWrongNegativesProposition;0
3;10001;945:;Precission_X;1.0
3;10001;945:;Precission_!X;1.0
3;10001;945:;Recall_X;1.0
3;10001;945:;Recall_!X;1.0
3;10001;319:;RewardPos;22
3;10001;319:;RewardNeg;0
3;10001;319:;AmountOfProposition;18
3;10001;319:;AmountOfPositivesProposition;13
3;10001;319:;AmountOfNegativesProposition;5
3;10001;319:;AmountOfRightPositivesProposition;0
3;10001;319:;AmountOfWrongPositivesProposition;0
3;10001;319:;AmountOfRightNegativesProposition;1
3;10001;319:;AmountOfWrongNegativesProposition;0
3;10001;319:;Precission_X;0
3;10001;319:;Precission_!X;1.0
3;10001;319:;Recall_X;0
3;10001;319:;Recall_!X;1.0
3;10001;909:;RewardPos;38
3;10001;909:;RewardNeg;120
3;10001;909:;AmountOfProposition;18
3;10001;909:;AmountOfPositivesProposition;13
3;10001;909:;AmountOfNegativesProposition;5
3;10001;909:;AmountOfRightPositivesProposition;7
3;10001;909:;AmountOfWrongPositivesProposition;0
3;10001;909:;AmountOfRightNegativesProposition;1
3;10001;909:;AmountOfWrongNegativesProposition;0
3;10001;909:;Precission_X;1.0
3;10001;909:;Precission_!X;1.0
3;10001;909:;Recall_X;1.0
3;10001;909:;Recall_!X;1.0
3;10001;738:;RewardPos;49
3;10001;738:;RewardNeg;38
3;10001;738:;AmountOfProposition;18
3;10001;738:;AmountOfPositivesProposition;13
3;10001;738:;AmountOfNegativesProposition;5
3;10001;738:;AmountOfRightPositivesProposition;3
3;10001;738:;AmountOfWrongPositivesProposition;0
3;10001;738:;AmountOfRightNegativesProposition;2
3;10001;738:;AmountOfWrongNegativesProposition;0
3;10001;738:;Precission_X;1.0
3;10001;738:;Precission_!X;1.0
3;10001;738:;Recall_X;1.0
3;10001;738:;Recall_!X;1.0
3;10001;All;AveragePositiveReward;27.3
3;10001;All;AverageNegativeReward;51.9
3;10001;All;Precission_X;0.7
3;10001;All;Precission_!X;0.65
3;10001;All;Recall_X;0.6532142857142857
3;10001;All;Recall_!X;0.6333333333333333
3;10001;All;PercentageSurvive;0.8
4;GameOver;9;10001
4;10001;72:;RewardPos;27
4;10001;72:;RewardNeg;30
4;10001;72:;AmountOfProposition;22
4;10001;72:;AmountOfPositivesProposition;7
4;10001;72:;AmountOfNegativesProposition;15
4;10001;72:;AmountOfRightPositivesProposition;2
4;10001;72:;AmountOfWrongPositivesProposition;0
4;10001;72:;AmountOfRightNegativesProposition;1
4;10001;72:;AmountOfWrongNegativesProposition;1
4;10001;72:;Precission_X;1.0
4;10001;72:;Precission_!X;0.5
4;10001;72:;Recall_X;0.6666666666666666
4;10001;72:;Recall_!X;1.0
4;10001;690:;RewardPos;29
4;10001;690:;RewardNeg;28
4;10001;690:;AmountOfProposition;22
4;10001;690:;AmountOfPositivesProposition;7
4;10001;690:;AmountOfNegativesProposition;15
4;10001;690:;AmountOfRightPositivesProposition;2
4;10001;690:;AmountOfWrongPositivesProposition;0
4;10001;690:;AmountOfRightNegativesProposition;1
4;10001;690:;AmountOfWrongNegativesProposition;1
4;10001;690:;Precission_X;1.0
4;10001;690:;Precission_!X;0.5
4;10001;690:;Recall_X;0.6666666666666666
4;10001;690:;Recall_!X;1.0
4;10001;598:;RewardPos;34
4;10001;598:;RewardNeg;20
4;10001;598:;AmountOfProposition;22
4;10001;598:;AmountOfPositivesProposition;7
4;10001;598:;AmountOfNegativesProposition;15
4;10001;598:;AmountOfRightPositivesProposition;1
4;10001;598:;AmountOfWrongPositivesProposition;0
4;10001;598:;AmountOfRightNegativesProposition;1
4;10001;598:;AmountOfWrongNegativesProposition;0
4;10001;598:;Precission_X;1.0
4;10001;598:;Precission_!X;1.0
4;10001;598:;Recall_X;1.0
4;10001;598:;Recall_!X;1.0
4;10001;495:;RewardPos;62
4;10001;495:;RewardNeg;0
4;10001;495:;AmountOfProposition;22
4;10001;495:;AmountOfPositivesProposition;7
4;10001;495:;AmountOfNegativesProposition;15
4;10001;495:;AmountOfRightPositivesProposition;0
4;10001;495:;AmountOfWrongPositivesProposition;0
4;10001;495:;AmountOfRightNegativesProposition;2
4;10001;495:;AmountOfWrongNegativesProposition;0
4;10001;495:;Precission_X;0
4;10001;495:;Precission_!X;1.0
4;10001;495:;Recall_X;0
4;10001;495:;Recall_!X;1.0
4;10001;835:;RewardPos;41
4;10001;835:;RewardNeg;19
4;10001;835:;AmountOfProposition;22
4;10001;835:;AmountOfPositivesProposition;7
4;10001;835:;AmountOfNegativesProposition;15
4;10001;835:;AmountOfRightPositivesProposition;1
4;10001;835:;AmountOfWrongPositivesProposition;0
4;10001;835:;AmountOfRightNegativesProposition;1
4;10001;835:;AmountOfWrongNegativesProposition;0
4;10001;835:;Precission_X;1.0
4;10001;835:;Precission_!X;1.0
4;10001;835:;Recall_X;1.0
4;10001;835:;Recall_!X;1.0
4;10001;428:;RewardPos;0
4;10001;428:;RewardNeg;108
4;10001;428:;AmountOfProposition;22
4;10001;428:;AmountOfPositivesProposition;7
4;10001;428:;AmountOfNegativesProposition;15
4;10001;428:;AmountOfRightPositivesProposition;4
4;10001;428:;AmountOfWrongPositivesProposition;0
4;10001;428:;AmountOfRightNegativesProposition;0
4;10001;428:;AmountOfWrongNegativesProposition;6
4;10001;428:;Precission_X;1.0
4;10001;428:;Precission_!X;0.0
4;10001;428:;Recall_X;0.4
4;10001;428:;Recall_!X;0
4;10001;667:;RewardPos;30
4;10001;667:;RewardNeg;22
4;10001;667:;AmountOfProposition;22
4;10001;667:;AmountOfPositivesProposition;7
4;10001;667:;AmountOfNegativesProposition;15
4;10001;667:;AmountOfRightPositivesProposition;1
4;10001;667:;AmountOfWrongPositivesProposition;0
4;10001;667:;AmountOfRightNegativesProposition;1
4;10001;667:;AmountOfWrongNegativesProposition;0
4;10001;667:;Precission_X;1.0
4;10001;667:;Precission_!X;1.0
4;10001;667:;Recall_X;1.0
4;10001;667:;Recall_!X;1.0
4;10001;597:;RewardPos;52
4;10001;597:;RewardNeg;44
4;10001;597:;AmountOfProposition;22
4;10001;597:;AmountOfPositivesProposition;7
4;10001;597:;AmountOfNegativesProposition;15
4;10001;597:;AmountOfRightPositivesProposition;2
4;10001;597:;AmountOfWrongPositivesProposition;0
4;10001;597:;AmountOfRightNegativesProposition;0
4;10001;597:;AmountOfWrongNegativesProposition;2
4;10001;597:;Precission_X;1.0
4;10001;597:;Precission_!X;0.0
4;10001;597:;Recall_X;0.5
4;10001;597:;Recall_!X;0
4;10001;795:;RewardPos;17
4;10001;795:;RewardNeg;0
4;10001;795:;AmountOfProposition;22
4;10001;795:;AmountOfPositivesProposition;7
4;10001;795:;AmountOfNegativesProposition;15
4;10001;795:;AmountOfRightPositivesProposition;0
4;10001;795:;AmountOfWrongPositivesProposition;0
4;10001;795:;AmountOfRightNegativesProposition;1
4;10001;795:;AmountOfWrongNegativesProposition;0
4;10001;795:;Precission_X;0
4;10001;795:;Precission_!X;1.0
4;10001;795:;Recall_X;0
4;10001;795:;Recall_!X;1.0
4;10001;373:;RewardPos;45
4;10001;373:;RewardNeg;0
4;10001;373:;AmountOfProposition;22
4;10001;373:;AmountOfPositivesProposition;7
4;10001;373:;AmountOfNegativesProposition;15
4;10001;373:;AmountOfRightPositivesProposition;0
4;10001;373:;AmountOfWrongPositivesProposition;1
4;10001;373:;AmountOfRightNegativesProposition;3
4;10001;373:;AmountOfWrongNegativesProposition;0
4;10001;373:;Precission_X;0.0
4;10001;373:;Precission_!X;1.0
4;10001;373:;Recall_X;0
4;10001;373:;Recall_!X;0.75
4;10001;All;AveragePositiveReward;33.7
4;10001;All;AverageNegativeReward;27.1
4;10001;All;Precission_X;0.7
4;10001;All;Precission_!X;0.7
4;10001;All;Recall_X;0.5233333333333332
4;10001;All;Recall_!X;0.775
4;10001;All;PercentageSurvive;0.9
5;GameOver;10;10001
5;10001;87:;RewardPos;37
5;10001;87:;RewardNeg;0
5;10001;87:;AmountOfProposition;22
5;10001;87:;AmountOfPositivesProposition;10
5;10001;87:;AmountOfNegativesProposition;12
5;10001;87:;AmountOfRightPositivesProposition;0
5;10001;87:;AmountOfWrongPositivesProposition;0
5;10001;87:;AmountOfRightNegativesProposition;2
5;10001;87:;AmountOfWrongNegativesProposition;0
5;10001;87:;Precission_X;0
5;10001;87:;Precission_!X;1.0
5;10001;87:;Recall_X;0
5;10001;87:;Recall_!X;1.0
5;10001;811:;RewardPos;43
5;10001;811:;RewardNeg;96
5;10001;811:;AmountOfProposition;22
5;10001;811:;AmountOfPositivesProposition;10
5;10001;811:;AmountOfNegativesProposition;12
5;10001;811:;AmountOfRightPositivesProposition;3
5;10001;811:;AmountOfWrongPositivesProposition;0
5;10001;811:;AmountOfRightNegativesProposition;1
5;10001;811:;AmountOfWrongNegativesProposition;1
5;10001;811:;Precission_X;1.0
5;10001;811:;Precission_!X;0.5
5;10001;811:;Recall_X;0.75
5;10001;811:;Recall_!X;1.0
5;10001;538:;RewardPos;40
5;10001;538:;RewardNeg;0
5;10001;538:;AmountOfProposition;22
5;10001;538:;AmountOfPositivesProposition;10
5;10001;538:;AmountOfNegativesProposition;12
5;10001;538:;AmountOfRightPositivesProposition;0
5;10001;538:;AmountOfWrongPositivesProposition;3
5;10001;538:;AmountOfRightNegativesProposition;3
5;10001;538:;AmountOfWrongNegativesProposition;0
5;10001;538:;Precission_X;0.0
5;10001;538:;Precission_!X;1.0
5;10001;538:;Recall_X;0
5;10001;538:;Recall_!X;0.5
5;10001;426:;RewardPos;26
5;10001;426:;RewardNeg;19
5;10001;426:;AmountOfProposition;22
5;10001;426:;AmountOfPositivesProposition;10
5;10001;426:;AmountOfNegativesProposition;12
5;10001;426:;AmountOfRightPositivesProposition;1
5;10001;426:;AmountOfWrongPositivesProposition;0
5;10001;426:;AmountOfRightNegativesProposition;1
5;10001;426:;AmountOfWrongNegativesProposition;0
5;10001;426:;Precission_X;1.0
5;10001;426:;Precission_!X;1.0
5;10001;426:;Recall_X;1.0
5;10001;426:;Recall_!X;1.0
5;10001;903:;RewardPos;45
5;10001;903:;RewardNeg;5
5;10001;903:;AmountOfProposition;22
5;10001;903:;AmountOfPositivesProposition;10
5;10001;903:;AmountOfNegativesProposition;12
5;10001;903:;AmountOfRightPositivesProposition;1
5;10001;903:;AmountOfWrongPositivesProposition;1
5;10001;903:;AmountOfRightNegativesProposition;4
5;10001;903:;AmountOfWrongNegativesProposition;0
5;10001;903:;Precission_X;0.5
5;10001;903:;Precission_!X;1.0
5;10001;903:;Recall_X;1.0
5;10001;903:;Recall_!X;0.8
5;10001;661:;RewardPos;48
5;10001;661:;RewardNeg;25
5;10001;661:;AmountOfProposition;22
5;10001;661:;AmountOfPositivesProposition;10
5;10001;661:;AmountOfNegativesProposition;12
5;10001;661:;AmountOfRightPositivesProposition;1
5;10001;661:;AmountOfWrongPositivesProposition;0
5;10001;661:;AmountOfRightNegativesProposition;2
5;10001;661:;AmountOfWrongNegativesProposition;0
5;10001;661:;Precission_X;1.0
